Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,3.401941,3.523471,3.297622,3.489510,3.489510,113924809
2022-02-15,3.489397,3.671217,3.449407,3.654513,3.654513,103583136
2022-02-16,3.654650,3.672339,3.486894,3.559298,3.559298,98520971
2022-02-17,3.555083,3.554682,3.197848,3.233562,3.233562,120147295
2022-02-18,3.235058,3.388929,3.178233,3.204855,3.204855,96375919
2022-02-19,3.204435,3.261638,3.078677,3.185116,3.185116,73744245
2022-02-20,3.184870,3.184870,2.851067,2.892955,2.892955,102645522
2022-02-21,2.892426,3.049279,2.629976,2.631027,2.631027,168864364
2022-02-22,2.630822,2.709532,2.498799,2.709203,2.709203,194307100
2022-02-23,2.708953,2.842718,2.614268,2.614268,2.614268,128948848
2022-02-24,2.609158,2.732803,2.285641,2.708412,2.708412,254839393
2022-02-25,2.709761,2.881057,2.656767,2.843494,2.843494,150823463
2022-02-26,2.843899,3.093200,2.843899,3.031063,3.031063,163308588
2022-02-27,3.029864,3.055261,2.757516,2.786964,2.786964,165706410
2022-02-28,2.786045,3.171052,2.722820,3.151881,3.151881,151531936
2022-03-01,3.151867,3.280556,3.082158,3.134561,3.134561,143598613
2022-03-02,3.134777,3.278288,3.051616,3.134071,3.134071,152548477
2022-03-03,3.134563,3.167400,3.004525,3.066638,3.066638,101557309
2022-03-04,3.066791,3.071711,2.792005,2.814643,2.814643,104473649
2022-03-05,2.815737,2.894589,2.739266,2.876816,2.876816,74347701
2022-03-06,2.877063,2.902846,2.729335,2.732715,2.732715,64113881
2022-03-07,2.732900,2.810613,2.631762,2.702289,2.702289,108152248
2022-03-08,2.701680,2.774212,2.685296,2.758790,2.758790,89394530
2022-03-09,2.759673,2.874692,2.759673,2.873439,2.873439,88922823
2022-03-10,2.873136,2.921377,2.702627,2.770933,2.770933,105213951
2022-03-11,2.771210,2.815935,2.701304,2.741238,2.741238,88244800
2022-03-12,2.741208,2.817942,2.738256,2.778364,2.778364,51741156
2022-03-13,2.774403,2.820595,2.661679,2.667636,2.667636,50938261
2022-03-14,2.666811,2.747234,2.632634,2.741766,2.741766,66509675
2022-03-15,2.741518,2.745703,2.630974,2.711953,2.711953,63265285
2022-03-16,2.711414,2.814018,2.671105,2.813507,2.813507,121420382
